ZONA;RED;CIUDAD;AGENCIA;TIPO;MES;CUATRIMESTRE;ACTITUD;DESTREZAS DE SERVICIOS;IMAGEN Y ORDEN;CLIENTE FANTASMA;LEALTAD_ESFUERZO;LEALTAD_RECOMENDACIÓN;LEALTAD_RECOMPRA;LEALTAD_SATISFACCIÓN;ENCUESTA DE LEALTAD;INDICE CALIDAD DE SERVICIO;column.Auxiliar
ZONA 1;RED AGENCIAS;QUITO;SERVP EXPRESS UNIVERSIDAD CENTRAL;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;100,00%;100,00%;100,0%;100,0%;1
ZONA 1;RED AGENCIAS;AMBATO;AMBATO;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;60,00%;85,0%;92,5%;1
ZONA 1;RED AGENCIAS;AMBATO;MULTIPLAZA AKI;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;100,00%;85,00%;95,0%;97,5%;1
ZONA 1;RED AGENCIAS;ESMERALDAS;ESMERALDAS;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;90,00%;100,00%;85,00%;91,7%;95,8%;1
ZONA 1;RED AGENCIAS;IBARRA;IBARRA;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;10,00%;90,00%;100,00%;95,00%;95,0%;97,5%;1
ZONA 1;RED AGENCIAS;LATACUNGA;LATACUNGA;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;60,00%;100,00%;65,00%;75,0%;87,5%;1
ZONA 2;RED AGENCIAS;QUEVEDO;QUEVEDO;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;95,00%;100,00%;95,00%;96,7%;98,3%;1
ZONA 1;RED AGENCIAS;QUITO;ATAHUALPA;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;95,00%;80,00%;90,0%;95,0%;1
ZONA 1;RED AGENCIAS;QUITO;CENTRUM EL BOSQUE;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;90,00%;100,00%;90,00%;93,3%;96,7%;1
ZONA 1;RED AGENCIAS;QUITO;CALDERON;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;90,00%;100,00%;85,00%;91,7%;95,8%;1
ZONA 1;RED AGENCIAS;QUITO;CARAPUNGO;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;65,00%;83,3%;91,7%;1
ZONA 1;RED AGENCIAS;QUITO;CARCELEN;AGENCIA;dic-22;C3;83,3%;100,0%;100,0%;90,0%;5,00%;100,00%;100,00%;100,00%;100,0%;95,0%;1
ZONA 1;RED AGENCIAS;CAYAMBE;CAYAMBE;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;100,00%;85,00%;95,0%;97,5%;1
ZONA 1;RED AGENCIAS;QUITO;CHILLOGALLO;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;80,00%;100,00%;80,00%;86,7%;93,3%;1
